Mode: Priority Filter (PCP > PACP > PQCP)
Range: 0 -> 200
--------------------------------------------------------
L	| Type		| Weights to Search (g0, g1)
--------------------------------------------------------
0	| [PCP]		| (0,0)
2	| [PCP]		| (0,1) (1,2)
4	| [PCP]		| (1,1) (1,3) (3,3)
6	| [Opt-PACP]	| (1,3) (2,2) (2,4) (3,5) (4,4)
8	| [PCP]		| (2,4) (4,6)
10	| [PCP]		| (3,4) (3,6) (4,7) (6,7)
12	| [Opt-PACP]	| (4,5) (4,7) (5,8) (7,8)
14	| [Opt-PACP]	| (5,5) (5,9) (9,9)
16	| [PCP]		| (6,6) (6,10) (10,10)
18	| [PCP]		| (6,9) (9,12)
20	| [PCP]		| (7,9) (7,11) (9,13) (11,13)
22	| [Opt-PACP]	| (8,10) (8,12) (10,14) (12,14)
24	| [Opt-PACP]	| (9,10) (9,14) (10,15) (14,15)
26	| [PCP]		| (10,11) (10,15) (11,16) (15,16)
28	| [Opt-PACP]	| (11,12) (11,16) (12,17) (16,17)
30	| [Opt-PACP]	| (11,15) (15,19)
32	| [PCP]		| (12,16) (16,20)
34	| [PCP]		| (13,16) (13,18) (16,21) (18,21)
36	| [PCP]		| (15,15) (15,21) (21,21)
38	| [Opt-PACP]	| (15,17) (15,21) (16,16) (16,22) (17,23) (21,23) (22,22)
40	| [PCP]		| (16,18) (16,22) (18,24) (22,24)
42	| [Opt-PACP]	| (17,19) (17,23) (19,25) (23,25)
44	| [PQCP Only]	| (Use Relaxed Constraints: |Sum| <= 4)
46	| [PQCP Only]	| (Use Relaxed Constraints: |Sum| <= 4)
48	| [Opt-PACP]	| (19,24) (20,21) (20,27) (21,28) (24,29) (27,28)
50	| [PCP]		| (20,25) (21,22) (21,28) (22,29) (25,30) (28,29)
52	| [PCP]		| (21,25) (21,27) (25,31) (27,31)
54	| [Opt-PACP]	| (22,26) (22,28) (26,32) (28,32)
56	| [Opt-PACP]	| (23,26) (23,30) (26,33) (30,33)
58	| [PCP]		| (24,27) (24,31) (27,34) (31,34)
60	| [Opt-PACP]	| (25,28) (25,32) (28,35) (32,35)
62	| [Opt-PACP]	| (27,27) (27,35) (35,35)
64	| [PCP]		| (28,28) (28,36) (36,36)
66	| [Opt-PACP]	| (28,30) (28,36) (29,29) (29,37) (30,38) (36,38) (37,37)
68	| [PCP]		| (29,31) (29,37) (31,39) (37,39)
70	| [Opt-PACP]	| (29,35) (30,32) (30,38) (32,40) (35,41) (38,40)
72	| [PCP]		| (30,36) (36,42)
74	| [PCP]		| (31,36) (31,38) (36,43) (38,43)
76	| [Opt-PACP]	| (32,37) (32,39) (37,44) (39,44)
78	| [Opt-PACP]	| (33,37) (33,41) (37,45) (41,45)
80	| [PCP]		| (34,38) (34,42) (38,46) (42,46)
82	| [PCP]		| (36,37) (36,45) (37,46) (45,46)
84	| [Opt-PACP]	| (37,38) (37,46) (38,47) (46,47)
86	| [PQCP Only]	| (Use Relaxed Constraints: |Sum| <= 4)
88	| [Opt-PACP]	| (38,41) (38,47) (41,50) (47,50)
90	| [PCP]		| (39,42) (39,48) (42,51) (48,51)
92	| [Opt-PACP]	| (40,43) (40,49) (43,52) (49,52)
94	| [PQCP Only]	| (Use Relaxed Constraints: |Sum| <= 4)
96	| [Opt-PACP]	| (41,48) (48,55)
98	| [PCP]		| (42,49) (49,56)
100	| [PCP]		| (43,49) (43,51) (45,45) (45,55) (49,57) (51,57) (55,55)
102	| [Opt-PACP]	| (44,50) (44,52) (45,47) (45,55) (46,46) (46,56) (47,57) (50,58) (52,58) (55,57) (56,56)
104	| [PCP]		| (46,48) (46,56) (48,58) (56,58)
106	| [PCP]		| (46,51) (46,55) (51,60) (55,60)
108	| [Opt-PACP]	| (47,52) (47,56) (52,61) (56,61)
110	| [PQCP Only]	| (Use Relaxed Constraints: |Sum| <= 4)
112	| [PQCP Only]	| (Use Relaxed Constraints: |Sum| <= 4)
114	| [Opt-PACP]	| (50,54) (50,60) (54,64) (60,64)
116	| [PCP]		| (51,55) (51,61) (55,65) (61,65)
118	| [Opt-PACP]	| (52,56) (52,62) (56,66) (62,66)
120	| [Opt-PACP]	| (54,55) (54,65) (55,66) (65,66)
122	| [PCP]		| (55,56) (55,66) (56,67) (66,67)
124	| [Opt-PACP]	| (56,57) (56,67) (57,68) (67,68)
126	| [Opt-PACP]	| (55,63) (63,71)
128	| [PCP]		| (56,64) (64,72)
130	| [PCP]		| (57,64) (57,66) (58,61) (58,69) (61,72) (64,73) (66,73) (69,72)
132	| [Opt-PACP]	| (58,65) (58,67) (59,62) (59,70) (62,73) (65,74) (67,74) (70,73)
134	| [Opt-PACP]	| (59,65) (59,69) (65,75) (69,75)
136	| [PCP]		| (60,66) (60,70) (66,76) (70,76)
138	| [Opt-PACP]	| (61,67) (61,71) (67,77) (71,77)
140	| [PQCP Only]	| (Use Relaxed Constraints: |Sum| <= 4)
142	| [Opt-PACP]	| (65,65) (65,77) (77,77)
144	| [PCP]		| (66,66) (66,78) (78,78)
146	| [PCP]		| (65,70) (65,76) (70,81) (76,81)
148	| [PCP]		| (67,69) (67,79) (69,81) (79,81)
150	| [Opt-PACP]	| (68,70) (68,80) (70,82) (80,82)
152	| [PQCP Only]	| (Use Relaxed Constraints: |Sum| <= 4)
154	| [PQCP Only]	| (Use Relaxed Constraints: |Sum| <= 4)
156	| [PQCP Only]	| (Use Relaxed Constraints: |Sum| <= 4)
158	| [Opt-PACP]	| (71,75) (71,83) (75,87) (83,87)
160	| [PCP]		| (72,76) (72,84) (76,88) (84,88)
162	| [PCP]		| (72,81) (81,90)
164	| [PCP]		| (73,81) (73,83) (81,91) (83,91)
166	| [Opt-PACP]	| (74,82) (74,84) (82,92) (84,92)
