PACP Optimal Selection Report (Goal1) - Mon Jan  5 18:36:25 CST 2026
Selection Criteria: PSL == 2
==========================================
[Success Summary]
optimal_found_at: 27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,59,61,63,65,67,71,79,227,4003,5003,5051,6203,8011,10007
Total Lengths with Solutions: 29 / 109
==========================================
Length L   | Optimal Count  
------------------------------------------
27         | 1003           
29         | 1003           
31         | 1003           
33         | 1003           
35         | 1003           
37         | 1003           
39         | 1003           
41         | 1003           
43         | 1003           
45         | 1003           
47         | 573            
49         | 2              
51         | 2              
53         | 2              
55         | 2              
57         | 0              
59         | 4              
61         | 4              
63         | 4              
65         | 4              
67         | 1              
69         | 0              
71         | 1              
73         | 0              
75         | 0              
77         | 0              
79         | 1              
87         | 0              
89         | 0              
91         | 0              
93         | 0              
95         | 0              
101        | 0              
103        | 0              
105        | N/A            
137        | 0              
139        | 0              
141        | 0              
143        | 0              
151        | 0              
153        | 0              
155        | N/A            
167        | 0              
169        | 0              
187        | 0              
189        | 0              
201        | 0              
203        | 0              
205        | N/A            
207        | 0              
209        | 0              
227        | 1              
247        | 0              
251        | N/A            
253        | N/A            
255        | N/A            
267        | 0              
287        | 0              
301        | N/A            
303        | N/A            
305        | N/A            
351        | N/A            
353        | N/A            
355        | N/A            
401        | N/A            
403        | N/A            
405        | N/A            
451        | N/A            
453        | N/A            
455        | N/A            
501        | N/A            
503        | N/A            
505        | N/A            
551        | N/A            
553        | N/A            
555        | N/A            
3001       | N/A            
4003       | 1              
5001       | N/A            
5003       | 2              
5051       | 1              
5053       | N/A            
5101       | N/A            
5103       | N/A            
6003       | N/A            
6005       | N/A            
6103       | N/A            
6105       | N/A            
6203       | 1              
6205       | N/A            
6303       | N/A            
6305       | N/A            
6403       | N/A            
6405       | N/A            
8001       | N/A            
8003       | N/A            
8005       | N/A            
8007       | N/A            
8009       | N/A            
8011       | 1              
8013       | N/A            
8015       | N/A            
8017       | N/A            
8019       | N/A            
10007      | 2              
10009      | N/A            
16381      | N/A            
16383      | N/A            
16391      | N/A            
------------------------------------------
End of Report
